# C_CrxOy	e_real	e_imag	R	alpha	1/alpha
#				nm-1	nm
0.255	7.7562611077208	11.55216143387	0.387528	0.0214919	46.5291574965452
0.256	7.7530812206388	11.514849947183	0.386947	0.0214402	46.6413559575004
0.257	7.749807783498	11.477698180825	0.386366	0.0213888	46.7534410532615
0.258	7.7464420427025	11.44070556693	0.385787	0.0213376	46.8656268746251
0.259	7.7429852313993	11.403871535154	0.385209	0.0212866	46.9779109862543
0.26	7.7394385695942	11.367195512801	0.384632	0.0212359	47.0900691753116
0.261	7.7358032642673	11.330676924932	0.384056	0.0211853	47.2025413848282
0.262	7.7320805094882	11.294315194481	0.383481	0.021135	47.3148805299267
0.263	7.7282714865309	11.258109742368	0.382907	0.0210849	47.4273057970396
0.264	7.7243773639878	11.222059987607	0.382334	0.021035	47.5398145947231
0.265	7.7203992978836	11.186165347408	0.381763	0.0209853	47.6524043020591
0.266	7.7163384317888	11.15042523729	0.381192	0.0209358	47.7650722685543
0.267	7.712195896932	11.114839071175	0.380622	0.0208866	47.8775865866153
0.268	7.7079728123129	11.079406261493	0.380054	0.0208375	47.9904019196161
0.269	7.7036702848135	11.044126219281	0.379486	0.0207887	48.1030559871469
0.27	7.6992894093095	11.008998354271	0.37892	0.0207401	48.2157752373422
0.271	7.6948312687812	10.974022074994	0.378355	0.0206916	48.3287904270332
0.272	7.6902969344231	10.939196788866	0.377791	0.0206434	48.4416326767877
0.273	7.6856874657542	10.904521902278	0.377227	0.0205954	48.5545315944337
0.274	7.681003910726	10.869996820686	0.376665	0.0205476	48.6674842804026
0.275	7.6762473058318	10.835620948695	0.376104	0.0205	48.780487804878
0.276	7.6714186762138	10.801393690145	0.375544	0.0204526	48.8935392077291
0.277	7.6665190357705	10.767314448191	0.374985	0.0204054	49.0066354984465
0.278	7.661549387263	10.733382625386	0.374427	0.0203584	49.119773656083
0.279	7.6565107224215	10.699597623758	0.37387	0.0203116	49.2329506291971
